"﻿""SYMBOL",COMPANY NAME,SUBJECT,DETAILS,BROADCAST DATE/TIME,RECEIPT,DISSEMINATION,DIFFERENCE,"ATTACHMENT"""
GIRRESORTS,GIR Natureview Resorts Limited,Updates,"GIR Natureview Resorts Limited has informed the Exchange regarding 'SDD compliance certificate for the quarter ended September 30, 2023'.",18-10-2023 17:38,18-10-2023 17:38,18-10-2023 17:38,00:00:06,https://nsearchives.nseindia.com/corporate/GIRRESORTS_18102023173801_resort.pdf
3RDROCK,3rd Rock Multimedia Limited,Updates,"3rd Rock Multimedia Limited has informed the Exchange regarding 'SDD Compliance Certificate for the quarter ended September 30, 2023'.",18-10-2023 13:06,18-10-2023 13:06,18-10-2023 13:06,00:00:10,https://nsearchives.nseindia.com/corporate/3RDROCK_18102023130608_rock.pdf
GIRRESORTS,GIR Natureview Resorts Limited,Updates,"GIR Natureview Resorts Limited has informed the Exchange regarding 'Non-applicability of Corporate Governance [Regulation 27(2) of the Securities and Exchange Board of India (Listing Obligation and Disclosure Requirements) Regulations, 2015'.",13-10-2023 17:50,13-10-2023 17:50,13-10-2023 17:50,00:00:12,https://nsearchives.nseindia.com/corporate/GIRRESORTS_13102023175022_NSE.pdf
GIRRESORTS,GIR Natureview Resorts Limited,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","GIR Natureview Resorts Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018",13-10-2023 17:47,13-10-2023 17:47,13-10-2023 17:47,00:00:05,https://nsearchives.nseindia.com/corporate/GIRRESORTS_13102023174727_ilovepdf_merged.pdf
3RDROCK,3rd Rock Multimedia Limited,Updates,"3rd Rock Multimedia Limited has informed the Exchange regarding 'Non-applicability of Corporate Governance [Regulation 27(2) of the Securities and Exchange Board of India (Listing Obligation and Disclosure Requirements) Regulations, 2015]'.",13-10-2023 17:32,13-10-2023 17:32,13-10-2023 17:33,00:00:08,https://nsearchives.nseindia.com/corporate/3RDROCK_13102023173252_NSE.pdf
3RDROCK,3rd Rock Multimedia Limited,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","3rd Rock Multimedia Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018",13-10-2023 17:29,13-10-2023 17:29,13-10-2023 17:29,00:00:07,https://nsearchives.nseindia.com/corporate/3RDROCK_13102023172937_ilovepdf_merged.pdf
BHALCHANDR,Bhalchandram Clothing Limited,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Bhalchandram Clothing Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018",12-10-2023 16:39,12-10-2023 16:39,12-10-2023 16:39,00:00:03,https://nsearchives.nseindia.com/corporate/BHALCHANDR_12102023163929_74SeptemberBCL.pdf
GIRRESORTS,GIR Natureview Resorts Limited,Shareholders meeting,"GIR Natureview Resorts Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on September 30, 2023. Further, the company has informed the Exchange regarding voting results along with copy of minutes.",04-10-2023 16:25,04-10-2023 16:25,04-10-2023 16:25,00:00:06,https://nsearchives.nseindia.com/corporate/GIRRESORTS_04102023162541_VR.pdf
3RDROCK,3rd Rock Multimedia Limited,Shareholders meeting,"3rd Rock Multimedia Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on September 30, 2023. Further, the company has informed the Exchange regarding voting results.",04-10-2023 16:10,04-10-2023 16:10,04-10-2023 16:10,00:00:12,https://nsearchives.nseindia.com/corporate/3RDROCK_04102023161025_nse.pdf
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
